Category,Exercise Name,Description,Targeted Muscles,Equipment Needed,Difficulty,Repetitions
back_exercises,superman,Bodyweight exercise for lower back strength.,lower back,none,easy,Hold for 30 seconds per set
back_exercises,reverse_fly,Strengthens upper back with dumbbells.,upper back,dumbbells,easy,10-12 per set
back_exercises,bent_over_row,Targets the back and lats with a barbell.,back,barbell,medium,8-10 per set
back_exercises,lat_pulldown,Machine exercise for lats.,lats,lat pulldown machine,medium,10-12 per set
back_exercises,pull_up,Bodyweight exercise for back and biceps.,"back, biceps",pull-up bar,hard,8-10 per set
back_exercises,single_arm_row,Dumbbell exercise for lats and mid-back.,back,dumbbell,hard,8-10 per arm
bicep_exercises,bicep_curl,Strengthens biceps with dumbbells.,biceps,dumbbells,easy,12-15 per set
bicep_exercises,reverse_curl,Targets biceps and forearms with palms-down grip.,"biceps, forearms",barbell,easy,12-15 per set
bicep_exercises,hammer_curl,Builds biceps and forearms.,biceps,dumbbells,medium,10-12 per set
bicep_exercises,preacher_curl,Isolated biceps exercise.,biceps,preacher bench,medium,10-12 per set
bicep_exercises,chin_up,Bodyweight exercise targeting biceps.,"biceps, back",pull-up bar,hard,8-10 per set
bicep_exercises,21s,"Combines full, half, and partial curls.",biceps,barbell or dumbbells,hard,21 per set
tricep_exercises,tricep_dip_bench,Uses a bench to strengthen triceps.,triceps,bench,easy,10-12 per set
tricep_exercises,overhead_tricep_extension,Targets triceps with overhead movement.,triceps,dumbbell,easy,10-12 per set
tricep_exercises,kickbacks,Dumbbell exercise for triceps.,triceps,dumbbells,medium,10-12 per set
tricep_exercises,close_grip_push_up,Push-up variation for triceps.,triceps,none,medium,10-12 per set
tricep_exercises,skull_crushers,Overhead triceps extension with barbell.,triceps,barbell,hard,8-10 per set
tricep_exercises,dumbbell_pullover,Strengthens triceps and lats.,"triceps, back",dumbbell,hard,10-12 per set
shoulder_exercises,lateral_raise,Isolates deltoids with side raises.,shoulders,dumbbells,easy,10-12 per set
shoulder_exercises,front_raise,Targets front deltoids.,shoulders,dumbbells,easy,10-12 per set
shoulder_exercises,overhead_press,Strengthens shoulders with barbell or dumbbells.,shoulders,barbell,medium,8-10 per set
shoulder_exercises,upright_row,Targets traps and deltoids.,"shoulders, traps",barbell,medium,10-12 per set
shoulder_exercises,arnold_press,Targets shoulders with rotation.,shoulders,dumbbells,hard,8-10 per set
shoulder_exercises,snatch,Full-body power move emphasizing shoulders.,"shoulders, full body",barbell,hard,8-10 per set
leg_exercises,bodyweight_squat,Basic squat using bodyweight.,"quads, glutes",none,easy,10-12 per set
leg_exercises,step_ups,Low-impact leg exercise.,"quads, glutes",bench or step,easy,10-12 per leg per set
leg_exercises,goblet_squat,Squat with weight for added resistance.,"quads, glutes",dumbbell or kettlebell,medium,8-10 per set
leg_exercises,lunges,Dynamic leg exercise.,"quads, glutes",none or dumbbells,medium,10-12 per leg per set
